2026-07-08 10:56:38,108 | INFO     | routecollector | Hello RouteCollector
2026-07-08 11:06:08,294 | INFO     | routecollector | Application initialized
2026-07-08 14:35:52,637 | INFO     | routecollector | Application initialized
2026-07-08 14:52:10,698 | INFO     | routecollector | Application initialized
2026-07-08 14:52:20,776 | INFO     | routecollector | Application initialized
2026-07-08 14:52:20,850 | INFO     | routecollector | Database initialized: state/state.db
2026-07-08 14:52:29,990 | INFO     | routecollector | Application initialized
2026-07-08 14:57:54,707 | INFO     | routecollector | Application initialized
2026-07-08 15:22:02,396 | INFO     | routecollector | Application initialized
2026-07-08 15:36:31,200 | INFO     | routecollector | Application initialized
2026-07-08 15:38:55,058 | INFO     | routecollector | Application initialized
2026-07-08 15:49:37,743 | INFO     | routecollector | Application initialized
2026-07-08 15:59:33,737 | INFO     | routecollector | Application initialized
2026-07-08 16:04:51,263 | INFO     | routecollector | Application initialized
2026-07-09 15:34:57,138 | INFO     | routecollector | Application initialized
2026-07-09 16:00:48,500 | INFO     | routecollector | Application initialized
2026-07-09 16:03:58,320 | INFO     | routecollector | Application initialized
2026-07-09 16:04:43,762 | INFO     | routecollector | Application initialized
2026-07-09 16:04:57,273 | INFO     | routecollector | Application initialized
2026-07-09 20:59:38,918 | INFO     | routecollector | Application initialized
2026-07-09 20:59:38,933 | INFO     | routecollector | Database initialized: state/state.db
2026-07-09 21:07:22,512 | INFO     | routecollector | Application initialized
2026-07-09 21:19:20,024 | INFO     | routecollector | Application initialized
2026-07-09 21:19:25,867 | INFO     | routecollector | Application initialized
2026-07-09 21:19:32,126 | INFO     | routecollector | Application initialized
2026-07-09 21:19:38,199 | INFO     | routecollector | Application initialized
2026-07-10 18:32:03,879 | INFO     | routecollector | Application initialized
2026-07-10 18:53:20,729 | INFO     | routecollector | Application initialized
2026-07-10 18:54:27,152 | INFO     | routecollector | Application initialized
2026-07-10 18:55:16,312 | INFO     | routecollector | Application initialized
2026-07-10 19:04:29,673 | INFO     | routecollector | Application initialized
2026-07-10 19:05:12,354 | INFO     | routecollector | Application initialized
2026-07-10 19:05:58,881 | INFO     | routecollector | Application initialized
2026-07-10 19:25:00,897 | INFO     | routecollector | Application initialized
2026-07-10 19:26:09,676 | INFO     | routecollector | Application initialized
2026-07-10 19:43:48,096 | INFO     | routecollector | Application initialized
2026-07-10 19:54:53,294 | INFO     | routecollector | Application initialized
2026-07-10 22:21:03,836 | INFO     | routecollector | Application initialized
2026-07-10 22:21:03,836 | INFO     | routecollector | RouteCollector daemon started with interval=120 seconds
2026-07-10 22:21:33,302 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2852 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-10 22:22:50,536 | INFO     | routecollector | Received signal 2, stopping daemon
2026-07-10 22:22:51,310 | INFO     | routecollector | RouteCollector daemon stopped
2026-07-10 22:29:08,838 | INFO     | routecollector | Application initialized
2026-07-10 22:29:08,838 | INFO     | routecollector | RouteCollector daemon started with interval=1800 seconds
2026-07-10 22:29:40,230 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2851 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-10 22:30:19,469 | INFO     | routecollector | Received signal 15, stopping daemon
2026-07-10 22:30:20,234 | INFO     | routecollector | RouteCollector daemon stopped
2026-07-10 22:31:37,631 | INFO     | routecollector | Application initialized
2026-07-10 22:31:37,632 | INFO     | routecollector | RouteCollector daemon started with interval=1800 seconds
2026-07-10 22:32:08,013 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2839 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-10 22:32:08,295 | INFO     | routecollector | Application initialized
2026-07-10 22:42:56,524 | INFO     | routecollector | Application initialized
2026-07-10 23:02:38,019 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2840 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-10 23:33:06,633 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2857 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 00:03:37,217 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2847 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 00:34:08,244 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2860 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 01:04:37,441 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2854 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 01:35:05,009 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2843 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 02:05:33,433 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2846 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 02:36:03,491 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2842 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 03:06:33,009 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2848 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 03:37:02,718 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2851 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 04:07:30,859 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2842 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 04:37:59,434 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2854 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 05:08:28,453 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2843 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 05:38:59,595 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2852 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 06:09:28,050 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2847 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 06:39:56,327 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2843 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 07:10:24,306 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2855 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 07:40:52,759 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2846 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 08:11:21,413 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2835 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 08:41:51,801 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2851 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 08:41:58,675 | INFO     | routecollector | Application initialized
2026-07-11 08:45:42,833 | INFO     | routecollector | Received signal 15, stopping daemon
2026-07-11 08:45:43,823 | INFO     | routecollector | RouteCollector daemon stopped
2026-07-11 08:45:43,940 | INFO     | routecollector | Application initialized
2026-07-11 08:45:43,941 | INFO     | routecollector | RouteCollector daemon started with interval=1800 seconds
2026-07-11 08:46:13,574 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2852 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 09:16:44,237 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2839 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 09:27:02,510 | INFO     | routecollector | Application initialized
2026-07-11 09:27:10,240 | INFO     | routecollector | Application initialized
2026-07-11 09:39:33,312 | INFO     | routecollector | Application initialized
2026-07-11 09:39:33,338 | INFO     | routecollector | Database initialized: state/state.db
2026-07-11 09:47:16,075 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2856 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 10:01:53,872 | INFO     | routecollector | Application initialized
2026-07-11 10:17:45,863 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2840 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 10:32:24,388 | INFO     | routecollector | Received signal 15, stopping daemon
2026-07-11 10:32:24,947 | INFO     | routecollector | RouteCollector daemon stopped
2026-07-11 10:32:25,067 | INFO     | routecollector | Application initialized
2026-07-11 10:32:25,067 | INFO     | routecollector | RouteCollector daemon started with interval=1800 seconds
2026-07-11 10:32:29,264 | INFO     | routecollector | Application initialized
2026-07-11 10:32:56,859 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2850 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 10:44:31,376 | INFO     | routecollector | Application initialized
2026-07-11 11:03:27,857 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2851 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 11:33:56,095 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2836 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 12:04:27,500 | INFO     | routecollector | Cycle completed: services=1 domains=189 resolved=189 observations=2860 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 12:15:12,441 | INFO     | routecollector | Application initialized
2026-07-11 12:34:57,813 | INFO     | routecollector | Cycle completed: services=2 domains=226 resolved=189 observations=2847 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 13:01:45,059 | INFO     | routecollector | Application initialized
2026-07-11 13:05:21,720 | INFO     | routecollector | Application initialized
2026-07-11 13:05:21,812 | INFO     | routecollector | Database initialized: state/state.db
2026-07-11 13:05:29,534 | INFO     | routecollector | Cycle completed: services=2 domains=226 resolved=189 observations=2840 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 13:36:05,349 | INFO     | routecollector | Cycle completed: services=2 domains=226 resolved=189 observations=2857 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 14:06:36,775 | INFO     | routecollector | Cycle completed: services=2 domains=226 resolved=189 observations=2857 route_stats=39 routes=39 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 14:30:10,878 | INFO     | routecollector | Application initialized
2026-07-11 14:30:18,052 | INFO     | routecollector | Application initialized
2026-07-11 14:30:26,565 | INFO     | routecollector | Application initialized
2026-07-11 14:32:05,205 | INFO     | routecollector | Application initialized
2026-07-11 14:35:49,951 | INFO     | routecollector | Received signal 15, stopping daemon
2026-07-11 14:35:49,955 | INFO     | routecollector | RouteCollector daemon stopped
2026-07-11 14:41:16,325 | INFO     | routecollector | Application initialized
2026-07-11 14:41:45,838 | INFO     | routecollector | Application initialized
2026-07-11 14:42:28,285 | INFO     | routecollector | Application initialized
2026-07-11 14:44:25,639 | INFO     | routecollector | Application initialized
2026-07-11 14:45:10,197 | INFO     | routecollector | Application initialized
2026-07-11 14:45:10,198 | INFO     | routecollector | RouteCollector daemon started with interval=1800 seconds
2026-07-11 14:45:35,854 | INFO     | routecollector | Application initialized
2026-07-11 14:46:11,715 | INFO     | routecollector | Cycle completed: services=2 domains=211 resolved=366 observations=5597 route_stats=90 routes=65 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 14:51:02,872 | INFO     | routecollector | Received signal 15, stopping daemon
2026-07-11 14:51:03,743 | INFO     | routecollector | RouteCollector daemon stopped
2026-07-11 14:51:03,880 | INFO     | routecollector | Application initialized
2026-07-11 14:51:03,881 | INFO     | routecollector | RouteCollector daemon started with interval=1800 seconds
2026-07-11 14:51:28,609 | INFO     | routecollector | Application initialized
2026-07-11 14:52:13,242 | INFO     | routecollector | Cycle completed: services=2 domains=211 resolved=431 observations=6108 route_stats=90 routes=65 generated_changed=False installed_changed=False bird_reloaded=False rollback=False
2026-07-11 14:58:37,975 | INFO     | routecollector | Application initialized
2026-07-11 15:00:33,511 | INFO     | routecollector | Received signal 15, stopping daemon
2026-07-11 15:00:34,291 | INFO     | routecollector | RouteCollector daemon stopped
2026-07-11 15:00:34,421 | INFO     | routecollector | Application initialized
2026-07-11 15:00:34,422 | INFO     | routecollector | RouteCollector daemon started with interval=1800 seconds
